电视剧名称,一级,二级,正向,负向
180天重启计划,制作精良,剪辑节奏,7.0,10.0
180天重启计划,制作精良,后期质量,3.0,0.0
180天重启计划,制作精良,场景设置,8.0,3.0
180天重启计划,制作精良,服道化,5.0,4.0
180天重启计划,制作精良,特效技术,1.0,0.0
180天重启计划,思想精深,主题立意,240.0,26.0
180天重启计划,思想精深,价值导向,143.0,36.0
180天重启计划,思想精深,思想深度,96.0,7.0
180天重启计划,思想精深,社会反思,307.0,37.0
180天重启计划,整体评价,无具体指向,226.0,67.0
180天重启计划,艺术精湛,人物塑造,355.0,226.0
180天重启计划,艺术精湛,剧情结构,100.0,216.0
180天重启计划,艺术精湛,表演质量,295.0,83.0
180天重启计划,艺术精湛,语言表达,73.0,20.0
180天重启计划,艺术精湛,镜头语言,48.0,4.0
180天重启计划,艺术精湛,音乐音效,16.0,3.0
三叉戟2,制作精良,剪辑节奏,5.0,12.0
三叉戟2,制作精良,后期质量,7.0,8.0
三叉戟2,制作精良,场景设置,2.0,5.0
三叉戟2,制作精良,服道化,2.0,17.0
三叉戟2,制作精良,特效技术,1.0,3.0
三叉戟2,思想精深,主题立意,73.0,7.0
三叉戟2,思想精深,价值导向,45.0,13.0
三叉戟2,思想精深,思想深度,6.0,6.0
三叉戟2,思想精深,社会反思,91.0,19.0
三叉戟2,整体评价,无具体指向,273.0,95.0
三叉戟2,艺术精湛,人物塑造,304.0,226.0
三叉戟2,艺术精湛,剧情结构,157.0,244.0
三叉戟2,艺术精湛,表演质量,172.0,51.0
三叉戟2,艺术精湛,语言表达,40.0,22.0
三叉戟2,艺术精湛,镜头语言,7.0,6.0
三叉戟2,艺术精湛,音乐音效,9.0,3.0
人生若如初见,制作精良,剪辑节奏,26.0,22.0
人生若如初见,制作精良,后期质量,32.0,12.0
人生若如初见,制作精良,场景设置,60.0,2.0
人生若如初见,制作精良,服道化,130.0,24.0
人生若如初见,制作精良,特效技术,1.0,0.0
人生若如初见,思想精深,主题立意,510.0,102.0
人生若如初见,思想精深,价值导向,115.0,137.0
人生若如初见,思想精深,思想深度,343.0,57.0
人生若如初见,思想精深,社会反思,228.0,109.0
人生若如初见,整体评价,无具体指向,375.0,138.0
人生若如初见,艺术精湛,人物塑造,875.0,699.0
人生若如初见,艺术精湛,剧情结构,98.0,339.0
人生若如初见,艺术精湛,表演质量,833.0,368.0
人生若如初见,艺术精湛,语言表达,108.0,60.0
人生若如初见,艺术精湛,镜头语言,141.0,16.0
人生若如初见,艺术精湛,音乐音效,18.0,2.0
仙台有数,制作精良,剪辑节奏,102.0,192.0
仙台有数,制作精良,后期质量,121.0,180.0
仙台有数,制作精良,场景设置,306.0,9.0
仙台有数,制作精良,服道化,389.0,88.0
仙台有数,制作精良,特效技术,987.0,33.0
仙台有数,思想精深,主题立意,753.0,49.0
仙台有数,思想精深,价值导向,451.0,47.0
仙台有数,思想精深,思想深度,471.0,8.0
仙台有数,思想精深,社会反思,103.0,21.0
仙台有数,整体评价,无具体指向,1678.0,245.0
仙台有数,艺术精湛,人物塑造,2299.0,499.0
仙台有数,艺术精湛,剧情结构,1507.0,390.0
仙台有数,艺术精湛,表演质量,2011.0,486.0
仙台有数,艺术精湛,语言表达,212.0,45.0
仙台有数,艺术精湛,镜头语言,360.0,56.0
仙台有数,艺术精湛,音乐音效,102.0,23.0
余烬之上,制作精良,剪辑节奏,5.0,14.0
余烬之上,制作精良,后期质量,21.0,51.0
余烬之上,制作精良,场景设置,19.0,8.0
余烬之上,制作精良,服道化,8.0,8.0
余烬之上,制作精良,特效技术,0.0,3.0
余烬之上,思想精深,主题立意,171.0,18.0
余烬之上,思想精深,价值导向,53.0,19.0
余烬之上,思想精深,思想深度,149.0,6.0
余烬之上,思想精深,社会反思,149.0,13.0
余烬之上,整体评价,无具体指向,276.0,71.0
余烬之上,艺术精湛,人物塑造,294.0,119.0
余烬之上,艺术精湛,剧情结构,305.0,379.0
余烬之上,艺术精湛,表演质量,195.0,76.0
余烬之上,艺术精湛,语言表达,30.0,25.0
余烬之上,艺术精湛,镜头语言,50.0,12.0
余烬之上,艺术精湛,音乐音效,16.0,2.0
北上,制作精良,剪辑节奏,26.0,10.0
北上,制作精良,后期质量,53.0,10.0
北上,制作精良,场景设置,131.0,9.0
北上,制作精良,服道化,90.0,42.0
北上,制作精良,特效技术,4.0,0.0
北上,思想精深,主题立意,487.0,53.0
北上,思想精深,价值导向,284.0,29.0
北上,思想精深,思想深度,154.0,17.0
北上,思想精深,社会反思,417.0,45.0
北上,整体评价,无具体指向,482.0,103.0
北上,艺术精湛,人物塑造,738.0,251.0
北上,艺术精湛,剧情结构,239.0,280.0
北上,艺术精湛,表演质量,598.0,133.0
北上,艺术精湛,语言表达,109.0,22.0
北上,艺术精湛,镜头语言,267.0,10.0
北上,艺术精湛,音乐音效,91.0,4.0
千朵桃花一世开,制作精良,剪辑节奏,7.0,83.0
千朵桃花一世开,制作精良,后期质量,13.0,65.0
千朵桃花一世开,制作精良,场景设置,21.0,7.0
千朵桃花一世开,制作精良,服道化,83.0,75.0
千朵桃花一世开,制作精良,特效技术,110.0,34.0
千朵桃花一世开,思想精深,主题立意,138.0,49.0
千朵桃花一世开,思想精深,价值导向,48.0,36.0
千朵桃花一世开,思想精深,思想深度,137.0,23.0
千朵桃花一世开,思想精深,社会反思,16.0,11.0
千朵桃花一世开,整体评价,无具体指向,386.0,360.0
千朵桃花一世开,艺术精湛,人物塑造,573.0,551.0
千朵桃花一世开,艺术精湛,剧情结构,316.0,834.0
千朵桃花一世开,艺术精湛,表演质量,369.0,145.0
千朵桃花一世开,艺术精湛,语言表达,60.0,27.0
千朵桃花一世开,艺术精湛,镜头语言,47.0,146.0
千朵桃花一世开,艺术精湛,音乐音效,22.0,19.0
国色芳华,制作精良,剪辑节奏,28.0,11.0
国色芳华,制作精良,后期质量,147.0,24.0
国色芳华,制作精良,场景设置,598.0,6.0
国色芳华,制作精良,服道化,1351.0,78.0
国色芳华,制作精良,特效技术,11.0,10.0
国色芳华,思想精深,主题立意,1364.0,118.0
国色芳华,思想精深,价值导向,1273.0,108.0
国色芳华,思想精深,思想深度,381.0,23.0
国色芳华,思想精深,社会反思,836.0,85.0
国色芳华,整体评价,无具体指向,1678.0,256.0
国色芳华,艺术精湛,人物塑造,2390.0,672.0
国色芳华,艺术精湛,剧情结构,1078.0,701.0
国色芳华,艺术精湛,表演质量,1893.0,241.0
国色芳华,艺术精湛,语言表达,230.0,64.0
国色芳华,艺术精湛,镜头语言,493.0,19.0
国色芳华,艺术精湛,音乐音效,228.0,16.0
异人之下之决战！碧游村,制作精良,剪辑节奏,7.0,42.0
异人之下之决战！碧游村,制作精良,后期质量,29.0,30.0
异人之下之决战！碧游村,制作精良,场景设置,14.0,4.0
异人之下之决战！碧游村,制作精良,服道化,64.0,58.0
异人之下之决战！碧游村,制作精良,特效技术,104.0,30.0
异人之下之决战！碧游村,思想精深,主题立意,158.0,37.0
异人之下之决战！碧游村,思想精深,价值导向,34.0,15.0
异人之下之决战！碧游村,思想精深,思想深度,158.0,25.0
异人之下之决战！碧游村,思想精深,社会反思,65.0,19.0
异人之下之决战！碧游村,整体评价,无具体指向,365.0,305.0
